state,dist,IDSet
KARNATAKA,Chikmagalur,"['KA/2018/0221417', 'AR/2020/0263598', 'KA/2018/0200518', 'KA/2016/0114413', 'KA/2017/0120353', 'JK/2020/0271675', 'WB/2019/0234491', 'AP/2013/0068560', 'TN/2017/0118549', 'KA/2017/0150987', 'GJ/2019/0224297', 'DL/2015/0091689', 'JH/2018/0200113', 'KA/2019/0236601', 'GJ/2020/0254493', 'KA/2017/0175204', 'KA/2017/0172350', 'KA/2017/0177425', 'UP/2019/0242913', 'TS/2021/0276317', 'TN/2017/0152036', 'KA/2018/0197574', 'KA/2012/0051850', 'KA/2018/0215403', 'KA/2019/0236009', 'KA/2018/0214397', 'DL/2019/0223940', 'KA/2011/0040918', 'KA/2018/0195961', 'KA/2017/0165826', 'TN/2018/0220418', 'MN/2020/0251163', 'TN/2018/0192985', 'DL/2016/0103631', 'KL/2016/0108560', 'TN/2016/0111485', 'KA/2019/0247028', 'TN/2020/0251813', 'KA/2015/0090211', 'KA/2017/0150573', 'AP/2019/0237284', 'MH/2019/0236528', 'KA/2020/0268985', 'AP/2009/0002726', 'KA/2010/0024213', 'KA/2018/0208784', 'KA/2021/0272512', 'DL/2017/0166289', 'WB/2018/0183523', 'KA/2018/0208515']"
KARNATAKA,Bangalore,"['KA/2012/0054979', 'MP/2019/0222984', 'KA/2017/0175696', 'KA/2017/0174538', 'KA/2018/0222084', 'KA/2018/0200518', 'KA/2018/0208317', 'BR/2017/0158947', 'KA/2010/0035329', 'UP/2021/0278996', 'JK/2020/0269112', 'KA/2016/0114413', 'MH/2021/0274408', 'UP/2018/0216102', 'TN/2018/0187848', 'KA/2017/0175997', 'KA/2018/0219035', 'KA/2020/0271597', 'KA/2018/0198299', 'KA/2017/0166342', 'KA/2018/0214671', 'TS/2017/0116635', 'KA/2009/0001204', 'KA/2018/0214842', 'KA/2016/0110941', 'RJ/2019/0225646', 'KA/2018/0185314', 'KA/2017/0165963', 'KL/2021/0276200', 'DL/2009/0019490', 'TN/2019/0228839', 'MP/2019/0234801', 'DL/2018/0203226', 'KA/2017/0177862', 'MH/2017/0171712', 'KA/2017/0178406', 'KA/2018/0208247', 'MH/2019/0237858', 'KA/2018/0195228', 'KA/2017/0161323', 'WB/2018/0185981', 'UP/2016/0097747', 'KA/2017/0180255', 'KA/2017/0153334', 'KA/2017/0173073', 'TN/2019/0226809', 'KA/2017/0151596', 'AP/2013/0068560', 'KA/2019/0227258', 'KA/2017/0166460', 'AP/2018/0192320', 'KA/2017/0175114', 'KA/2021/0280859', 'TS/2020/0257971', 'KA/2017/0118403', 'TN/2017/0118549', 'UP/2018/0185827', 'KA/2017/0163677', 'KA/2018/0213305', 'OR/2019/0245693', 'DL/2017/0173157', 'KA/2018/0182287', 'KA/2019/0237223', 'OR/2020/0264742', 'KA/2014/0072291', 'KA/2018/0205205', 'KA/2018/0205372', 'KL/2016/0102937', 'KA/2017/0165281', 'KA/2021/0280973', 'KA/2017/0116223', 'KA/2017/0174728', 'KA/2017/0176172', 'KA/2018/0185914', 'KA/2017/0169912', 'JH/2020/0270316', 'DL/2015/0091689', 'AP/2018/0205536', 'RJ/2019/0241985', 'MP/2019/0225141', 'HR/2018/0214844', 'GJ/2017/0178361', 'KA/2016/0103804', 'KA/2017/0175119', 'MH/2018/0207502', 'KA/2018/0198560', 'PB/2020/0251803', 'WB/2017/0115150', 'JK/2018/0220088', 'UA/2019/0245734', 'JH/2018/0200113', 'KA/2017/0174721', 'KA/2018/0203843', 'KA/2018/0218065', 'WB/2017/0175342', 'KA/2019/0236601', 'GJ/2020/0254493', 'KA/2018/0187832', 'MH/2019/0222906', 'KA/2018/0204871', 'KA/2020/0252968', 'UP/2021/0276675', 'KA/2017/0174699', 'MH/2016/0106896', 'UP/2020/0258895', 'KA/2018/0215591', 'KA/2020/0271433', 'KA/2018/0221771', 'KA/2018/0184829', 'AP/2020/0250655', 'KA/2018/0220352', 'GJ/2017/0159881', 'KA/2017/0175204', 'KA/2017/0167716', 'UP/2018/0215351', 'KA/2017/0165986', 'AP/2017/0162856', 'MH/2018/0198929', 'KA/2017/0169056', 'KA/2017/0166914', 'KA/2020/0262260', 'GJ/2018/0202560', 'KA/2017/0172350', 'KA/2018/0214452', 'KA/2019/0224305', 'KA/2018/0215106', 'KA/2017/0158366', 'KA/2020/0271421', 'KA/2015/0091100', 'KA/2018/0200514', 'KA/2018/0218093', 'KA/2018/0215637', 'RJ/2017/0161399', 'KL/2018/0192712', 'KA/2018/0216614', 'KA/2011/0042080', 'KA/2018/0214215', 'KA/2017/0173888', 'KA/2017/0157288', 'KA/2017/0179238', 'KA/2016/0097788', 'KA/2017/0166596', 'RJ/2020/0265354', 'TN/2018/0212832', 'TS/2021/0276317', 'TN/2017/0152036', 'KA/2020/0268176', 'DL/2019/0229748', 'KA/2018/0197574', 'UP/2018/0184201', 'KA/2012/0051850', 'KA/2018/0199037', 'KA/2017/0153369', 'KA/2018/0215403', 'DL/2018/0218582', 'KA/2019/0236009', 'UP/2020/0251117', 'KA/2018/0210662', 'KA/2010/0032402', 'KA/2018/0211543', 'KA/2014/0075898', 'KA/2020/0256144', 'KA/2018/0221948', 'KA/2018/0184605', 'KA/2018/0185834', 'KA/2017/0168476', 'KA/2021/0280394', 'HR/2021/0274164', 'KL/2018/0214335', 'KA/2018/0214397', 'KA/2021/0279445', 'KA/2017/0174768', 'DL/2019/0223940', 'KA/2018/0190185', 'KL/2018/0191319', 'OR/2018/0209772', 'TS/2017/0158601', 'KA/2020/0267899', 'KA/2017/0169572', 'DL/2021/0275999', 'KA/2017/0166042', 'KA/2018/0211715', 'KA/2017/0168006', 'PY/2016/0106097', 'KA/2017/0166956', 'BR/2013/0070511', 'KA/2018/0216539', 'KA/2019/0236604', 'KA/2018/0216111', 'KA/2011/0040918', 'KA/2018/0195961', 'TS/2017/0161578', 'KA/2017/0173752', 'KA/2019/0231887', 'TN/2017/0172450', 'DL/2021/0276575', 'KA/2017/0165826', 'TN/2018/0220418', 'MN/2020/0251163', 'TN/2018/0192985', 'DL/2016/0103631', 'KA/2017/0167083', 'AP/2019/0233908', 'UP/2018/0200966', 'KA/2018/0192308', 'KA/2018/0202284', 'CG/2019/0227572', 'BR/2018/0211220', 'TN/2019/0226297', 'KA/2018/0222303', 'KL/2016/0108560', 'TN/2016/0111485', 'MH/2018/0212335', 'UP/2018/0183023', 'KA/2019/0225138', 'KA/2017/0175929', 'MH/2018/0202238', 'KA/2013/0059128', 'KA/2019/0247028', 'TN/2020/0251813', 'KA/2019/0229962', 'KA/2015/0090211', 'KA/2021/0274677', 'KA/2017/0150573', 'AP/2019/0237284', 'KA/2015/0090531', 'KA/2017/0173075', 'KA/2017/0165232', 'KA/2018/0188676', 'WB/2009/0010698', 'WB/2018/0212846', 'MH/2019/0236528', 'KA/2017/0177475', 'KA/2018/0204516', 'UP/2021/0277290', 'KA/2020/0268985', 'KA/2009/0010356', 'AS/2018/0217754', 'TN/2019/0243086', 'KA/2020/0251726', 'AP/2009/0002726', 'KA/2018/0207676', 'KA/2015/0089216', 'KA/2017/0161404', 'KA/2016/0097271', 'KA/2019/0235245', 'GJ/2020/0265733', 'DL/2018/0195150', 'MH/2018/0211514', 'KA/2017/0172761', 'KA/2018/0183314', 'BR/2018/0199254', 'KA/2021/0275099', 'KA/2019/0241715', 'KA/2018/0207675', 'KA/2017/0168270', 'KA/2017/0166691', 'KA/2016/0100364', 'KL/2018/0186022', 'KA/2016/0114364', 'KA/2018/0193086', 'JK/2017/0163848', 'UP/2016/0098713', 'KA/2017/0169276', 'KA/2010/0024213', 'KA/2021/0275735', 'KA/2019/0240686', 'KL/2017/0178324', 'KA/2018/0199636', 'DL/2020/0255106', 'KA/2020/0260701', 'DL/2020/0270770', 'KA/2019/0238258', 'KA/2019/0233004', 'KA/2018/0215236', 'KL/2018/0207100', 'KA/2018/0208784', 'MP/2021/0281021', 'MH/2018/0201727', 'KA/2019/0232236', 'KA/2018/0199611', 'UP/2016/0106387', 'KA/2018/0216412', 'KA/2018/0208515', 'TS/2018/0187679', 'KA/2018/0188161', 'KA/2017/0117076', 'WB/2010/0028202', 'DL/2020/0269014', 'KA/2016/0095691', 'KA/2017/0179328', 'KA/2017/0165980', 'TN/2018/0218571', 'KA/2020/0268353', 'KA/2017/0156361', 'KA/2019/0234209', 'TN/2018/0210118', 'DL/2019/0227729', 'KA/2017/0178288', 'KA/2021/0279321', 'KA/2017/0167300', 'HR/2017/0166373', 'AS/2020/0260364', 'KA/2017/0169980', 'KA/2018/0209729', 'KA/2018/0206615', 'UP/2012/0052729', 'KA/2018/0192912', 'KA/2017/0180112', 'DL/2016/0109532', 'KA/2016/0106724', 'KA/2017/0171578', 'KA/2018/0198432', 'KA/2020/0269470', 'KA/2019/0246716', 'AP/2020/0268036', 'DL/2021/0280353', 'KA/2020/0259997', 'TS/2019/0231741', 'TN/2018/0210318']"
KARNATAKA,Kolar,"['KA/2018/0206840', 'RJ/2020/0267478', 'KA/2018/0200518', 'KA/2016/0114413', 'TN/2018/0204709', 'DL/2018/0212389', 'DL/2018/0203226', 'KA/2017/0177862', 'MH/2017/0171712', 'AP/2013/0068560', 'KA/2018/0205711', 'TS/2020/0257971', 'TN/2017/0118549', 'KA/2019/0226872', 'KA/2018/0188641', 'DL/2015/0091689', 'KA/2019/0236601', 'GJ/2020/0254493', 'KA/2017/0175204', 'KA/2017/0172350', 'KA/2020/0270807', 'KA/2020/0254537', 'KA/2018/0214215', 'AP/2020/0259034', 'KA/2017/0150525', 'KA/2017/0118279', 'KA/2018/0197574', 'KA/2016/0100200', 'KA/2012/0051850', 'KA/2018/0215403', 'KA/2019/0236009', 'KA/2018/0214397', 'DL/2019/0223940', 'KA/2019/0239852', 'KA/2011/0040918', 'KA/2018/0195961', 'DL/2016/0103631', 'KL/2016/0108560', 'TN/2016/0111485', 'KA/2019/0230327', 'KA/2019/0247028', 'TN/2020/0251813', 'KA/2015/0090211', 'KA/2017/0150573', 'AP/2019/0237284', 'MH/2019/0236528', 'KA/2020/0268985', 'AP/2009/0002726', 'KA/2018/0207676', 'KA/2017/0168270', 'KA/2010/0024213', 'KA/2018/0188930', 'KA/2019/0247503', 'KA/2018/0208784', 'KA/2021/0272512', 'DL/2017/0166289', 'WB/2018/0183523', 'KA/2018/0208515', 'KA/2017/0165980', 'TN/2018/0218571', 'KA/2018/0215197', 'KA/2017/0181338', 'MH/2020/0258731', 'UP/2017/0116213', 'KA/2020/0269470', 'KA/2019/0246716', 'AP/2020/0268036', 'KA/2020/0259997', 'TS/2019/0231741', 'TN/2018/0210318']"
KARNATAKA,Dharwad,"['KA/2018/0200518', 'KA/2010/0035329', 'UP/2021/0278996', 'JK/2020/0269112', 'KA/2016/0114413', 'KA/2017/0120353', 'JK/2020/0271675', 'WB/2019/0234491', 'KA/2018/0198299', 'KA/2016/0113471', 'KA/2017/0177862', 'MH/2017/0171712', 'KA/2017/0162068', 'UP/2020/0264588', 'AP/2013/0068560', 'KA/2019/0227258', 'KA/2014/0076463', 'UP/2018/0209044', 'TN/2017/0118549', 'KA/2017/0163677', 'KA/2017/0116223', 'DL/2015/0091689', 'KA/2018/0197812', 'KA/2017/0150766', 'KA/2019/0243901', 'KA/2017/0161313', 'KA/2019/0236601', 'GJ/2020/0254493', 'KA/2017/0175204', 'KA/2017/0172350', 'DL/2017/0159947', 'KA/2021/0274229', 'KA/2011/0042080', 'KA/2017/0157288', 'KA/2018/0197574', 'KA/2016/0100200', 'KA/2012/0051850', 'KA/2017/0156409', 'KA/2014/0075898', 'KA/2018/0185834', 'DL/2019/0223940', 'MH/2018/0197036', 'KA/2011/0040918', 'KA/2018/0195961', 'KA/2018/0187787', 'KA/2020/0260693', 'RJ/2020/0262283', 'DL/2016/0103631', 'KL/2016/0108560', 'KA/2018/0206206', 'TN/2016/0111485', 'KA/2019/0247028', 'TN/2020/0251813', 'KA/2020/0261511', 'KA/2015/0090211', 'KA/2017/0150573', 'AP/2019/0237284', 'MH/2019/0236528', 'KA/2020/0268985', 'AP/2009/0002726', 'KA/2019/0235245', 'GJ/2020/0265733', 'DL/2018/0195150', 'KA/2009/0010647', 'KA/2010/0024213', 'RJ/2021/0275721', 'DL/2018/0218508', 'KA/2017/0118157', 'KA/2020/0260701', 'DL/2020/0270770', 'KA/2017/0167666', 'KA/2018/0208515', 'MP/2018/0193869', 'KA/2016/0095691', 'KA/2018/0195968', 'AS/2021/0277994', 'MP/2018/0189252', 'KA/2017/0178692', 'TN/2018/0210118', 'KA/2018/0190149', 'KA/2019/0223447', 'KA/2017/0153528']"
KARNATAKA,Shimoga,"['KA/2018/0200518', 'KA/2010/0035329', 'UP/2021/0278996', 'JK/2020/0269112', 'KA/2016/0114413', 'KA/2020/0259846', 'BR/2018/0190815', 'KA/2017/0120353', 'JK/2020/0271675', 'WB/2019/0234491', 'KA/2016/0101813', 'KA/2018/0198299', 'KA/2017/0162068', 'UP/2020/0264588', 'AP/2013/0068560', 'TN/2017/0118549', 'KA/2017/0150987', 'GJ/2019/0224297', 'KA/2018/0222010', 'KA/2017/0116223', 'KA/2017/0180412', 'KA/2018/0184150', 'DL/2015/0091689', 'KA/2019/0236601', 'GJ/2020/0254493', 'KA/2017/0175204', 'KA/2017/0172350', 'KA/2020/0271421', 'KA/2020/0254579', 'KA/2017/0177425', 'UP/2019/0242913', 'KA/2011/0042080', 'KA/2018/0197574', 'KA/2011/0044929', 'KA/2012/0051850', 'KA/2018/0215403', 'KA/2018/0185834', 'DL/2019/0223940', 'KA/2016/0099314', 'KA/2018/0216539', 'KA/2011/0040918', 'KA/2018/0195961', 'KA/2017/0165826', 'TN/2018/0220418', 'MN/2020/0251163', 'TN/2018/0192985', 'DL/2016/0103631', 'KA/2018/0198455', 'KL/2016/0108560', 'TN/2016/0111485', 'KA/2020/0251573', 'KA/2019/0247028', 'TN/2020/0251813', 'KA/2015/0090211', 'KA/2017/0150573', 'AP/2019/0237284', 'MH/2019/0236528', 'KA/2020/0268985', 'AP/2009/0002726', 'KA/2019/0241715', 'KA/2016/0114364', 'KA/2010/0024213', 'KA/2018/0208515', 'KA/2021/0272175']"
KARNATAKA,Yadgir,"['KA/2018/0200518', 'KA/2019/0226090', 'KA/2019/0227258', 'KA/2019/0230496', 'KA/2019/0246889', 'UP/2018/0182790', 'KA/2019/0228329', 'KA/2019/0236601', 'GJ/2020/0254493', 'KA/2017/0175204', 'KA/2019/0238410', 'CG/2017/0178297', 'BR/2016/0102469', 'KA/2017/0172350', 'KA/2020/0270807', 'KA/2020/0262213', 'KA/2018/0197574', 'KA/2016/0100200', 'KA/2020/0269626', 'MH/2015/0092617', 'KA/2018/0214397', 'DL/2019/0223940', 'KA/2018/0211977', 'TS/2020/0265149', 'KA/2018/0195961', 'KA/2019/0223091', 'KA/2019/0231887', 'KA/2019/0247028', 'TN/2020/0251813', 'KA/2017/0150573', 'AP/2019/0237284', 'MH/2019/0236528', 'KA/2020/0268985', 'AP/2009/0002726', 'KA/2019/0231031', 'KA/2020/0260701', 'DL/2020/0270770', 'KA/2019/0229484', 'PY/2016/0097140', 'MP/2015/0086282', 'WB/2018/0216889', 'KA/2019/0222809', 'KA/2018/0208515', 'KA/2020/0262423', 'UP/2018/0214754', 'KA/2017/0178692']"
KARNATAKA,Bijapur,"['KA/2018/0200518', 'KA/2016/0114413', 'DL/2018/0203226', 'KA/2017/0177862', 'MH/2017/0171712', 'KA/2016/0106944', 'AP/2013/0068560', 'KA/2017/0160274', 'TN/2017/0118549', 'KA/2017/0163677', 'MH/2017/0167604', 'KA/2020/0252994', 'KA/2019/0246889', 'UP/2018/0182790', 'DL/2015/0091689', 'KA/2017/0152838', 'KA/2019/0236601', 'GJ/2020/0254493', 'KA/2017/0175204', 'KA/2017/0172350', 'KA/2020/0262213', 'KA/2018/0197574', 'KA/2016/0100200', 'KA/2012/0051850', 'KA/2020/0269626', 'MH/2015/0092617', 'KA/2018/0185834', 'KA/2018/0214397', 'DL/2019/0223940', 'KA/2017/0170500', 'KA/2019/0227092', 'KA/2011/0040918', 'KA/2018/0195961', 'KA/2020/0260693', 'RJ/2020/0262283', 'KA/2019/0223091', 'KA/2019/0231887', 'DL/2016/0103631', 'KL/2016/0108560', 'TN/2016/0111485', 'KA/2019/0241680', 'KA/2019/0247028', 'TN/2020/0251813', 'KA/2020/0261511', 'KA/2015/0090211', 'KA/2017/0150573', 'AP/2019/0237284', 'MH/2019/0236528', 'KA/2020/0268985', 'AP/2009/0002726', 'KA/2018/0195849', 'KA/2019/0235245', 'GJ/2020/0265733', 'DL/2018/0195150', 'KA/2017/0152385', 'KA/2019/0241715', 'KA/2010/0024213', 'KA/2017/0118157', 'KA/2021/0275735', 'KA/2020/0260701', 'DL/2020/0270770', 'KA/2018/0208784', 'KA/2018/0208515', 'KA/2019/0237175', 'TN/2018/0189923', 'TN/2017/0175595', 'KA/2017/0178692']"
KARNATAKA,Dakshina Kannada,"['KA/2018/0200518', 'KA/2016/0114413', 'KA/2018/0213043', 'KA/2018/0218720', 'KA/2017/0162068', 'UP/2020/0264588', 'AP/2013/0068560', 'TN/2017/0118549', 'KA/2017/0150987', 'GJ/2019/0224297', 'KA/2019/0232678', 'DL/2015/0091689', 'KA/2019/0236601', 'GJ/2020/0254493', 'KA/2017/0175204', 'KA/2017/0172350', 'KA/2020/0271421', 'KA/2018/0189467', 'KA/2017/0157288', 'KA/2018/0197574', 'KA/2012/0051850', 'KA/2018/0215403', 'KA/2014/0075898', 'DL/2019/0223940', 'KL/2019/0237272', 'DL/2020/0270883', 'KA/2011/0040918', 'KA/2018/0195961', 'KA/2016/0105819', 'AP/2018/0208750', 'DL/2016/0103631', 'KL/2016/0108560', 'TN/2016/0111485', 'KA/2019/0247028', 'TN/2020/0251813', 'KA/2015/0090211', 'KA/2017/0150573', 'AP/2019/0237284', 'MH/2019/0236528', 'KA/2020/0268985', 'AP/2009/0002726', 'KA/2017/0171482', 'MH/2018/0211514', 'KA/2017/0177932', 'KA/2016/0114364', 'KA/2010/0024213', 'KL/2017/0178324', 'KA/2018/0208784', 'KA/2018/0208515']"
KARNATAKA,Bangalore Rural,"['KA/2018/0200518', 'KA/2016/0114413', 'UP/2018/0216102', 'TN/2018/0187848', 'KA/2017/0180255', 'KA/2019/0223455', 'AP/2013/0068560', 'KA/2019/0227258', 'TS/2020/0257971', 'TN/2017/0118549', 'KA/2014/0072291', 'KA/2018/0205372', 'KA/2017/0116223', 'KA/2017/0169912', 'JH/2020/0270316', 'DL/2015/0091689', 'MP/2019/0225141', 'HR/2018/0214844', 'GJ/2017/0178361', 'KA/2019/0236601', 'GJ/2020/0254493', 'KA/2020/0252968', 'UP/2021/0276675', 'AP/2020/0250655', 'KA/2017/0175204', 'KA/2017/0169056', 'KA/2017/0172350', 'KA/2020/0271421', 'KA/2018/0200514', 'KA/2020/0270807', 'KA/2015/0088257', 'KA/2017/0174825', 'KA/2011/0042080', 'AP/2020/0259034', 'KA/2017/0118279', 'KA/2018/0197574', 'KA/2012/0051850', 'KA/2018/0215403', 'KA/2018/0211543', 'KA/2020/0251928', 'KA/2020/0256144', 'KA/2021/0280394', 'DL/2019/0223940', 'OR/2018/0209772', 'KA/2011/0040918', 'KA/2018/0195961', 'KA/2019/0231887', 'KA/2017/0114619', 'DL/2016/0103631', 'KL/2016/0108560', 'TN/2016/0111485', 'KA/2018/0198214', 'KA/2019/0230327', 'KA/2019/0247028', 'TN/2020/0251813', 'KA/2015/0090211', 'KA/2017/0150573', 'AP/2019/0237284', 'KA/2015/0090531', 'MH/2019/0236528', 'KA/2018/0204516', 'UP/2021/0277290', 'KA/2020/0268985', 'KA/2009/0010356', 'AS/2018/0217754', 'AP/2009/0002726', 'KA/2018/0207676', 'KA/2019/0235245', 'GJ/2020/0265733', 'DL/2018/0195150', 'BR/2018/0199254', 'KA/2021/0275099', 'KA/2017/0168270', 'KA/2016/0114364', 'KA/2010/0024213', 'KA/2019/0247503', 'KA/2018/0208784', 'KA/2017/0175649', 'KA/2021/0272512', 'DL/2017/0166289', 'WB/2018/0183523', 'KA/2018/0208515', 'AP/2017/0117856', 'TN/2019/0246928', 'GJ/2019/0230855', 'KA/2017/0165980', 'TN/2018/0218571', 'KA/2017/0181338', 'MH/2020/0258731', 'UP/2017/0116213', 'KA/2019/0246716', 'AP/2020/0268036', 'KA/2020/0259997', 'TS/2019/0231741', 'TN/2018/0210318']"
KARNATAKA,Bellary,"['KA/2018/0200518', 'KA/2016/0114413', 'KA/2017/0120353', 'JK/2020/0271675', 'WB/2019/0234491', 'KA/2017/0172661', 'JK/2009/0015883', 'AP/2013/0068560', 'KA/2019/0227258', 'KA/2017/0160274', 'TN/2017/0118549', 'KA/2017/0116223', 'KA/2019/0246889', 'UP/2018/0182790', 'DL/2015/0091689', 'JH/2018/0200113', 'KA/2019/0236601', 'GJ/2020/0254493', 'KA/2017/0175204', 'KA/2019/0238410', 'CG/2017/0178297', 'BR/2016/0102469', 'KA/2018/0188188', 'KA/2017/0172350', 'KA/2016/0098686', 'UP/2016/0097194', 'UP/2019/0243442', 'DL/2017/0159947', 'KA/2019/0230856', 'KA/2018/0197574', 'KA/2012/0051850', 'KA/2018/0215403', 'KA/2019/0236009', 'AP/2016/0112939', 'AR/2019/0232250', 'UP/2020/0267949', 'DL/2019/0223940', 'KA/2018/0216539', 'KA/2011/0040918', 'KA/2018/0195961', 'MH/2018/0210620', 'KA/2020/0260693', 'RJ/2020/0262283', 'DL/2016/0103631', 'KA/2018/0192308', 'KL/2016/0108560', 'TN/2016/0111485', 'KA/2019/0247028', 'TN/2020/0251813', 'KA/2020/0261511', 'KA/2015/0090211', 'KA/2017/0150573', 'AP/2019/0237284', 'MH/2019/0236528', 'KA/2020/0268985', 'AP/2009/0002726', 'KA/2018/0207676', 'KA/2019/0235245', 'GJ/2020/0265733', 'DL/2018/0195150', 'KA/2019/0241715', 'KA/2009/0010647', 'KA/2010/0024213', 'KA/2017/0118157', 'TN/2017/0115021', 'KA/2021/0272512', 'DL/2017/0166289', 'WB/2018/0183523', 'KA/2018/0208515', 'TS/2018/0187679', 'KA/2016/0095691', 'KA/2017/0150079', 'KL/2012/0055924', 'KA/2016/0106436', 'KA/2018/0206471', 'KA/2018/0206615', 'UP/2012/0052729']"
